Comment,Designator,Footprint,LCSC/Part link,Quantity
D,D8,Diode_DO-35,C258182,1
SW_Push_45deg,SW4,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
D,D14,Diode_DO-35,C258182,1
D,D18,Diode_DO-35,C258182,1
D,D16,Diode_DO-35,C258182,1
SW_Push_45deg,SW5,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
SW_Push_45deg,SW2,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
D,D4,Diode_DO-35,C258182,1
SW_Push_45deg,SW21,MX-Hotswap-1.5U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
D,D1,Diode_DO-35,C258182,1
SW_Push_45deg,SW1,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
SW_Push_45deg,SW6,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
SW_Push_45deg,SW12,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
D,D20,Diode_DO-35,C258182,1
SW_Push_45deg,SW10,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
D,D11,Diode_DO-35,C258182,1
D,D3,Diode_DO-35,C258182,1
D,D21,Diode_DO-35,C258182,1
D,D5,Diode_DO-35,C258182,1
D,D12,Diode_DO-35,C258182,1
SW_Push_45deg,SW16,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
SW_Push_45deg,SW11,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
D,D22,Diode_DO-35,C258182,1
D,D6,Diode_DO-35,C258182,1
D,D13,Diode_DO-35,C258182,1
SW_Push_45deg,SW20,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
SW_Push_45deg,SW17,MX-Hotswap-1U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
SW_Push_45deg,SW19,MX-Hotswap-1.5U,http://www.kailh.com/en/Products/Ks/HPC/883.html,1
D,D17,Diode_DO-35,C258182,1
